Equipment_ID,Type,Site_ID,Check_In_Date,Check_Out_Date,Engine_Hours_Day,Idle_Hours_Day,Rental_Days,Last_Operator_ID
EQX1001,Excavator,S002,2025-01-05,2025-01-25,6.5,2.2,20,OP108
EQX1001,Excavator,S005,2025-01-28,2025-02-17,6.5,2.2,20,OP103
EQX1001,Excavator,S002,2025-02-24,2025-03-11,6.4,1.6,15,OP101
EQX1002,Excavator,S004,2025-01-05,2025-01-17,7.3,2.2,12,OP108
EQX1002,Excavator,S007,2025-01-22,2025-02-09,6.7,2.4,18,OP106
EQX1002,Excavator,S007,2025-02-16,2025-03-03,6.8,1.7,15,OP111
EQX1003,Excavator,S003,2025-01-05,2025-01-15,6.9,1.9,10,OP109
EQX1003,Excavator,S004,2025-01-18,2025-02-07,7.0,1.6,20,OP103
EQX1003,Excavator,S007,2025-02-14,2025-02-28,7.4,2.1,14,OP112
EQX1004,Excavator,S002,2025-01-05,2025-01-17,7.2,1.5,12,OP110
EQX1004,Excavator,S004,2025-01-20,2025-02-01,7.4,1.9,12,OP112
EQX1004,Excavator,S006,2025-02-04,2025-02-18,6.8,2.2,14,OP103
EQX2001,Bulldozer,S002,2025-01-05,2025-01-25,6.1,2.7,20,OP115
EQX2001,Bulldozer,S005,2025-01-30,2025-02-13,7.1,2.6,14,OP108
EQX2001,Bulldozer,S002,2025-02-20,2025-03-06,6.9,2.8,14,OP102
EQX2002,Bulldozer,S005,2025-01-05,2025-01-20,6.2,2.2,15,OP111
EQX2002,Bulldozer,S006,2025-01-23,2025-02-12,6.5,2.9,20,OP115
EQX2002,Bulldozer,S005,2025-02-15,2025-03-01,6.1,2.7,14,OP109
EQX2003,Bulldozer,S003,2025-01-05,2025-01-23,6.4,2.6,18,OP108
EQX2003,Bulldozer,S007,2025-01-26,2025-02-13,6.5,2.8,18,OP104
EQX2003,Bulldozer,S005,2025-02-16,2025-03-08,6.1,2.7,20,OP103
EQX2004,Bulldozer,S003,2025-01-05,2025-01-20,6.6,2.5,15,OP101
EQX2004,Bulldozer,S007,2025-01-27,2025-02-16,6.0,2.9,20,OP109
EQX2004,Bulldozer,S004,2025-02-23,2025-03-09,6.0,2.4,14,OP101
EQX3001,Crane,S002,2025-01-05,2025-01-25,5.2,3.0,20,OP104
EQX3001,Crane,S002,2025-02-01,2025-02-15,5.9,3.0,14,OP105
EQX3001,Crane,S005,2025-02-20,2025-03-04,5.5,3.3,12,OP101
EQX3002,Crane,S003,2025-01-05,2025-01-19,5.5,2.6,14,OP110
EQX3002,Crane,S001,2025-01-22,2025-02-01,5.2,3.1,10,OP103
EQX3002,Crane,S005,2025-02-08,2025-02-23,5.9,3.5,15,OP105
EQX3003,Crane,S003,2025-01-05,2025-01-25,5.5,3.0,20,OP114
EQX3003,Crane,S006,2025-01-28,2025-02-15,5.8,3.2,18,OP110
EQX3003,Crane,S005,2025-02-20,2025-03-12,5.7,2.9,20,OP115
EQX4001,Grader,S005,2025-01-05,2025-01-17,5.7,2.3,12,OP108
EQX4001,Grader,S001,2025-01-24,2025-02-05,5.4,2.7,12,OP108
EQX4001,Grader,S002,2025-02-08,2025-02-18,6.4,2.1,10,OP109
EQX4002,Grader,S005,2025-01-05,2025-01-20,5.7,2.1,15,OP116
EQX4002,Grader,S001,2025-01-23,2025-02-07,6.4,2.2,15,OP114
EQX4002,Grader,S001,2025-02-12,2025-02-27,5.9,2.9,15,OP104
