site_id,site_name,phase,phase_order,start_date,end_date,is_complete,start_censored,duration_weeks
S001,Chennai Metro Ph2,clearing,1,2025-07-14,,False,False,
S002,Hosur Industrial Park,clearing,1,2025-07-07,,False,False,
S003,Coimbatore Ring Road,clearing,1,2025-05-05,2025-06-30,True,False,9.0
S003,Coimbatore Ring Road,excavation,2,2025-07-07,,False,False,
S004,Krishnagiri Quarry,clearing,1,2025-01-06,2025-03-31,True,False,13.0
S004,Krishnagiri Quarry,excavation,2,2025-04-07,,False,False,
S005,Sriperumbudur Plant,clearing,1,2025-01-06,2025-02-24,True,False,8.0
S005,Sriperumbudur Plant,excavation,2,2025-03-03,2025-06-23,True,False,17.0
S005,Sriperumbudur Plant,foundation,3,2025-06-30,,False,False,
S006,Madurai Bypass,clearing,1,2024-07-22,2024-10-21,True,False,14.0
S006,Madurai Bypass,excavation,2,2024-10-28,2025-03-03,True,False,19.0
S006,Madurai Bypass,foundation,3,2025-03-10,,False,False,
S007,Trichy Ring Main,clearing,1,2024-08-19,2024-10-21,True,False,10.0
S007,Trichy Ring Main,excavation,2,2024-10-28,2025-02-10,True,False,16.0
S007,Trichy Ring Main,foundation,3,2025-02-17,2025-06-16,True,False,18.0
S007,Trichy Ring Main,erection,4,2025-06-23,,False,False,
S008,Salem Steel Expansion,clearing,1,2024-03-18,2024-06-03,True,False,12.0
S008,Salem Steel Expansion,excavation,2,2024-06-10,2024-10-14,True,False,19.0
S008,Salem Steel Expansion,foundation,3,2024-10-21,2025-03-03,True,False,20.0
S008,Salem Steel Expansion,erection,4,2025-03-10,,False,False,
S009,Tuticorin Port Yard,clearing,1,2024-08-19,2024-09-30,True,False,7.0
S009,Tuticorin Port Yard,excavation,2,2024-10-07,2024-12-16,True,False,11.0
S009,Tuticorin Port Yard,foundation,3,2024-12-23,2025-03-24,True,False,14.0
S009,Tuticorin Port Yard,erection,4,2025-03-31,2025-07-14,True,False,16.0
S009,Tuticorin Port Yard,grading,5,2025-07-21,,False,False,
S010,Erode Bypass,clearing,1,2023-09-11,2023-12-04,True,False,13.0
S010,Erode Bypass,excavation,2,2023-12-11,2024-04-15,True,False,19.0
S010,Erode Bypass,foundation,3,2024-04-22,2024-09-30,True,False,24.0
S010,Erode Bypass,erection,4,2024-10-07,2025-04-28,True,False,30.0
S010,Erode Bypass,grading,5,2025-05-05,,False,False,
S011,Vellore Township,clearing,1,2024-04-22,2024-06-17,True,False,9.0
S011,Vellore Township,excavation,2,2024-06-24,2024-09-09,True,False,12.0
S011,Vellore Township,foundation,3,2024-09-16,2024-12-09,True,False,13.0
S011,Vellore Township,erection,4,2024-12-16,2025-04-28,True,False,20.0
S011,Vellore Township,grading,5,2025-05-05,2025-07-21,True,False,12.0
S011,Vellore Township,demobilisation,6,2025-07-28,,False,False,
S012,Thanjavur Canal Works,clearing,1,2023-10-16,2023-12-25,True,False,11.0
S012,Thanjavur Canal Works,excavation,2,2024-01-01,2024-05-06,True,False,19.0
S012,Thanjavur Canal Works,foundation,3,2024-05-13,2024-09-30,True,False,21.0
S012,Thanjavur Canal Works,erection,4,2024-10-07,2025-03-03,True,False,22.0
S012,Thanjavur Canal Works,grading,5,2025-03-10,2025-06-09,True,False,14.0
